PK_LOCALIDADE;region_name;region_code;city;country;state;zip_code
924257715e46aa41310045e8e9c278f4f516ddc7d7bfc22796b6d03e175527f9;Central;4;Joliet;US;IL;60432
2d1631ec242c88041291be1bb17d472e223a28da2b713746059cca504a8e15e7;International;5;Jeddah;AU;Não informado;21424
be6717705b91f2c6ae69e5799945dcecc786034f85ea4bcc80041dd6c8db6ec7;Canada;0;Edmonton;CA;AB;T5V 1C7
e7719dbcfd34bae4b73cbcb93fbed83be6a65a96fae523fc846a6c20f1b429f1;Northeast;3;Roanoke;US;VA;24001
2360338d56691cc90bc7dbac83903ea32ce4afff1190ba676a1367b59c2067ed;International;5;Não informado;UK;Não informado;0
f55a1b3baf94e73e918f0e8472ac5b759104fafd2a17e81ca53d4ed04484355e;Canada;0;Beamsville;CA;ON;L0R 1B0
0ac2e612c19821e350879c0864fb9cc1cb74088c4c04dadaa5ff6e314b00a772;International;5;Industriestrasse 17;UK;Não informado;0
d78ea2c070f0f94197b548150be133d6d364f88e896ee2ec3a90949250e09e7b;Western;1;Anchorage;US;AK;99518
3f4ff3b32cf8f81eb3c773cfe2dae06eac7e176391cf2e7d87d041e26268e66b;International;5;Madrid;UK;Não informado;28006
396b634f19b72c0707fe2ec3c640a534c480ebe7bb4026e30890bf0ef3a4ccea;Central;4;Attica;US;IN;47918
c496925053b600099c175d72d71d56608b5707bb82068f60808fea22930bd115;International;5;Quito;UK;Não informado;0
c9f4aea7c442ab9012fcb7385d3d6bed1542fcd1fb6f4a3cb1c80b16d34f709f;Canada;0;Surrey;CA;BC;V4N 3P8
ad714de56f593c3b9b78e032ee40dfbd621a813463d626ed8f60bf9bfa80d621;International;5;FIN 00710;UK;Não informado;710
8b6e4d1be8f98d8882b426e4ca448b0f86933d8914ca97a5b2742abb48441802;Southern;2;Charlotte;US;NC;28213
1fdccc43fcfca168e4274ad201c5eec7761fb07342387dbc9443a15888179e63;International;5;Cali;UK;Não informado;0
16632349ca26b4cec09c55e2d154ed90b9a455a9fd25a76612222a598e28370f;Western;1;Billings;US;MT;59101
8e38c1756270c529ef422e8c119918baec02d5de60b109554c9937aed8d85891;Western;1;Tuscon;US;AZ;85713
0b0c2d74d3b05541208c28d965f2869e5254e322f8b3072acd7024bce9741054;Central;4;Plainfield;US;IN;46168-0600
55a025a305d965f63d656ea51882ce2b49fb88d7330a918da46f0861311edcc0;Central;4;Kansas City;US;MO;64139-1538
bf314f71f221ba05fcd35cfa9367abe0c8d58b140bfdac7008b62100e3cc2e0e;International;5;Istanbul;AU;Não informado;80090
1b0f3e7e5662d865373bc71f2e452f128f91abfa720f21c06b453ab6b4724897;Southern;2;Brookhaven;US;MS;39601
09379e4119aaa5d8f0495dd559037d43f0f8838cd9acbc20b94b8d9a777109d6;Western;1;Fort Collins;US;CO;80524
9f21c2197d6f739e7ba6a241cc79c856a605a622604dd7dc981860b74bd9804b;Southern;2;Cleveland;US;MS;38732-0899
706aaac0ec1ca3e030b0091896c89300c79f930350b57218ff038c807c9a82e0;Southern;2;Houston;US;TX;77061
801431957b1012afe89b7150896802e12e87c2a8e49f61103959b7452c145eaf;Western;1;San Diego;US;CA;92102
a1b9e044f2f8b23d7fdbe530617a3819adaa09655c188ad41f338906b0fad6d6;Western;1;Aurora;US;OR;97002
105f300ec1325930100cdb2c762f02c77ad6b8989f0c1458c5b8d86813ba2be3;Canada;0;Surrey;CA;BC;V3T 4W2
a8bebcb8409ead45d9c33fb154017580d93a2e8d01537897c71c6a708831225e;Canada;0;Mississauga;CA;ON;L4W 1T7
683146fee18dba064f38b4d01ac3827b6531420532d35d3fc9513e89ceff35bd;Central;4;Sidney;US;NE;69160
