PK_TEMPO;invoice_date;Ano;Mes;Dia
ad9a85dd130c3ebdbccec503db0c3a53ae6479c31624e2508bb8e29eef63427f;10/11/2018;2018;11;10
9a526574540960872f08cf6132b355ffe81b60f419829a6ef33fd1f339e4147d;25/08/2017;2017;08;25
33f4b4ae45dcde96e36dbfc8e0334112c424db4984d3ab96f5f5db219eb8c63e;01/07/2018;2018;07;01
7ab59e8e1062b99c18e00da7f774471b020bc9c91e3d20e16b7237c1765a1677;10/07/2018;2018;07;10
d09e49aa2bf6582711fdd39cc9642aeb6275c665f009342085f0e532054fcdd0;19/02/2018;2018;02;19
e0e3d4fd93b48b3bd76b5533b550e636b4ddc770e23c892945e52e8c31626ae7;22/12/2018;2018;12;22
b0184056fd1fe72333642fafa1317b670479eafe6dccdcb1fdb52c5e72526ef8;29/04/2017;2017;04;29
b11af17eb5787ebb1423de178e8a8730ef6ce5b46d402479f5fe3823ee13d691;23/01/2019;2019;01;23
80e8754f207dd29601e1fb5cf79776279752e7f90f0b8027c8ce6ce3a704fbae;04/06/2017;2017;06;04
87e1ba6566d31b262d0a1bfe0ef069725bb1052753bd5936b945e9a2dca523ff;07/10/2018;2018;10;07
1df26c6dbbff4328a9fa45af9e79fc50178595dfd4050855d491cae119c2de18;05/11/2017;2017;11;05
f27c6c62ebc2f7c30189f263e65fc4e25a1ff496a004b4648df41382d892e313;04/03/2018;2018;03;04
7a167f5d52129d9ca6c7102f7d21d78f9fcd92ff72428b840513495bf29b82d1;23/03/2017;2017;03;23
dc6172c3ce3d6b18a8de3df5a9475cb375a37ffd982d6593205d98794e79bd1a;26/01/2017;2017;01;26
fce651fbec02c1badaf7b9d4160b075bb35119cbe919d5bd9a29982598ec6d59;13/10/2017;2017;10;13
13cb8fdee929e17bf0bc2e0ea29924c48ff9b09d823ca3c372bc82951d679b16;18/11/2018;2018;11;18
0a83697fc75a6c645e0976a2841247fa44e29e02051f735223f9afe97114287c;26/08/2018;2018;08;26
ebe6de590da5bf17a2bc4b8133c45c1e828a96dd36bcb2adc6035d5fa2cbbad8;19/06/2018;2018;06;19
bb22bf6a531fad13fdeb421e38d742d67f365680242e78019423abf6b5adb981;03/08/2017;2017;08;03
8d8b61b0602881935989d169a27d24a9d4f0c1d1bf1ce1d082ebe62b85ce6077;03/07/2017;2017;07;03
19a3452d59541c64db9e41278622a02791f967b9ed479fcb7eaa169c18fd5fbd;24/01/2018;2018;01;24
1b1fcd8c302a3714ee73ccfcfc9261b854870069b709cb17b962f43d326d89c8;14/12/2017;2017;12;14
33dffd1fc6a266dd6cd8c01412cc50ed3598513e88aabf13eecbe0e0d4b4c1a8;11/04/2018;2018;04;11
5a0a802ca1d7970b7139267244ffe514fea9385dede55e0a44c613df00740189;24/11/2017;2017;11;24
f3b00470b3a8497558b41c7870257d872d7fbe858ba27b369b098cf6f58b8e8d;12/08/2017;2017;08;12
6d930c4f8c2341d456b887544038ba4e2f3e84bf8dfe277fa402cfdda85df76d;15/10/2018;2018;10;15
5c48dfb9038ba45bd017acacdd6231e5c16a74922659e0d62f84877300218d46;22/01/2017;2017;01;22
f74e034bc0eeeed5eb8c35fb9e5a759d860266bde888da8ffdf22ba8fbc24cf9;11/01/2018;2018;01;11
b6ca089070d43d925cd3d47feba7e71852c6bb73a954b981bc5e34594d776b0d;04/10/2017;2017;10;04
52d2e667f341b26e8821fd8685e29be678d11a1468997cacee4ad518a2dd7a26;22/02/2018;2018;02;22
07aec1d906a65a7f7e63a7aa7b89b2e4d5b1995575ff68b8e2709f27026ed0fb;21/04/2018;2018;04;21
c05453204d5d0f516750fd6ac5e69011651c1c4071785d3eb5b71b1c07e2a152;23/06/2018;2018;06;23
f22ce1bc556f8c2bbc6b682c0f51270a0887f68dd897b7203bc73f677f0f3d6d;10/09/2017;2017;09;10
